service_id,date,exception_type
1,20190807,1
1,20190808,1
1,20190809,1
2,20190810,1
3,20190811,1
1,20190812,1
1,20190813,1
1,20190814,1
1,20190815,1
1,20190816,1
4,20190817,1
3,20190818,1
1,20190819,1
1,20190820,1
1,20190821,1
1,20190822,1
1,20190823,1
2,20190824,1
3,20190825,1
1,20190826,1
1,20190827,1
1,20190828,1
1,20190829,1
1,20190830,1
2,20190831,1
3,20190901,1
1,20190902,1
1,20190903,1
1,20190904,1
1,20190905,1
1,20190906,1
2,20190907,1
3,20190908,1
1,20190909,1
1,20190910,1
1,20190911,1
1,20190912,1
1,20190913,1
2,20190914,1
3,20190915,1
1,20190916,1
1,20190917,1
1,20190918,1
1,20190919,1
1,20190920,1
2,20190921,1
3,20190922,1
1,20190923,1
1,20190924,1
1,20190925,1
1,20190926,1
1,20190927,1
2,20190928,1
3,20190929,1
1,20190930,1
1,20191001,1
1,20191002,1
1,20191003,1
1,20191004,1
2,20191005,1
3,20191006,1
1,20191007,1
1,20191008,1
1,20191009,1
1,20191010,1
1,20191011,1
4,20191012,1
3,20191013,1
1,20191014,1
1,20191015,1
1,20191016,1
1,20191017,1
1,20191018,1
2,20191019,1
3,20191020,1
1,20191021,1
1,20191022,1
1,20191023,1
1,20191024,1
1,20191025,1
2,20191026,1
3,20191027,1
1,20191028,1
1,20191029,1
1,20191030,1
1,20191031,1
1,20191101,1
2,20191102,1
3,20191103,1
1,20191104,1
1,20191105,1
1,20191106,1
1,20191107,1
1,20191108,1
2,20191109,1
3,20191110,1
1,20191111,1
1,20191112,1
1,20191113,1
1,20191114,1
1,20191115,1
2,20191116,1
3,20191117,1
4,20191118,1
1,20191119,1
1,20191120,1
1,20191121,1
1,20191122,1
2,20191123,1
3,20191124,1
1,20191125,1
1,20191126,1
1,20191127,1
1,20191128,1
1,20191129,1
2,20191130,1
3,20191201,1
1,20191202,1
1,20191203,1
1,20191204,1
1,20191205,1
1,20191206,1
2,20191207,1
4,20191208,1
1,20191209,1
1,20191210,1
1,20191211,1
1,20191212,1
1,20191213,1
2,20191214,1
3,20191215,1
1,20191216,1
1,20191217,1
1,20191218,1
1,20191219,1
1,20191220,1
2,20191221,1
3,20191222,1
1,20191223,1
2,20191224,1
4,20191225,1
1,20191226,1
1,20191227,1
2,20191228,1
3,20191229,1
1,20191230,1
2,20191231,1
